尹文,1,0297-1319514807,37,天猫,Jackson
卢忠保,1,1193-1495390098,26,拼多多,长沙
彭友霭,0,3629-1627851834,30,The Kroger,拉萨
荀言,1,7914-1628935693,31,Amazon.com,内蒙古
蒋易克,1,3629-1781754638,37,天猫,拉萨
薛荔,0,3629-1316779114,49,天猫,拉萨
戴世,1,3629-1544504755,23,Costco Wholesale,拉萨
项家,1,9379-1522157542,21,Amazon.com,Philadelphia
戴欢,0,3995-1736955425,27,京东,北京
明信璧,0,0169-1510494454,29,Wal-Mart Stores,Columbia
费器胜,1,7914-1347260082,27,Wal-Mart Stores,内蒙古
戈贞,0,1193-1584441981,35,天猫,长沙
公良良,1,3629-1594411728,44,Costco Wholesale,拉萨
莫芸,0,5291-1523286679,44,天猫,Detroit
车信元,1,9379-1677974796,25,京东,Philadelphia
庄悦,0,3995-1377722754,26,淘宝,北京
庄悦,0,1084-1377722754,21,淘宝,重庆
吴孝莎,0,3629-1667773985,29,The Kroger,拉萨
滑茜,0,0566-1520052326,48,京东,武汉
尹强,1,0169-1402409709,38,Wal-Mart Stores,Columbia
劳义炎,1,9672-1605329064,46,Costco Wholesale,Bismarck
于国,1,7914-1793861152,37,The Kroger,内蒙古
颜婉,0,1241-1534030544,50,聚划算,成都
葛星,1,7914-1574596715,19,拼多多,内蒙古
詹器伯,1,6423-1373015147,45,Amazon.com,石家庄
任浩,1,7914-1389723706,36,唯品会,内蒙古
危怡,0,6423-1411462248,32,聚划算,石家庄
米金胜,1,3995-1782180614,24,淘宝,北京
古善,1,7914-1788195004,22,Wal-Mart Stores,内蒙古
房春,0,0169-1498996575,33,淘宝,Columbia
黎义梦,0,6423-1422037545,36,唯品会,石家庄
衡义贵,1,5291-1397847807,50,拼多多,Detroit
寇仉媛,0,6423-1696985681,23,The Kroger,石家庄
农琛,1,5291-1771290670,27,Amazon.com,Detroit
江中震,1,1241-1603599902,43,淘宝,成都
屈孝莎,0,3629-1464397147,17,Costco Wholesale,拉萨
方晨,1,0169-1467067392,45,聚划算,Columbia
许震,1,9672-1334166542,41,The Kroger,Bismarck
严蓓,0,1084-1622802808,40,Schwarz Group,重庆
严蓓,0,3995-1622802808,43,Schwarz Group,北京
富军,1,0566-1620304227,39,淘宝,武汉
熊婉,0,1084-1523434903,25,京东,重庆
沈器融,0,3629-1461189570,23,聚划算,拉萨
龚兰,0,3629-1706827968,27,唯品会,拉萨
霍飞,1,4439-1420455320,34,聚划算,Austin
尹伯,1,0297-1422042200,24,Schwarz Group,Jackson
滑金宏,1,5291-1660035930,25,Amazon.com,Detroit
冀凤,0,6423-1744404646,41,蘑菇街,石家庄
黎卡宁,0,1193-1367314544,28,The Kroger,长沙
幸梅,0,1193-1302290390,23,The Kroger,长沙
屈思,1,0566-1331566137,23,Wal-Mart Stores,武汉
温好荔,0,3629-1478837074,30,The Kroger,拉萨
方马勤,0,9672-1420649687,26,唯品会,Bismarck
水中萍,0,1084-1396758467,20,Costco Wholesale,重庆
洪淑,0,5291-1414444703,24,拼多多,Detroit
卞无怡,0,5291-1607955486,27,聚划算,Detroit
羊舌珍,0,3629-1623553422,24,聚划算,拉萨
康有,1,4439-1648718444,26,唯品会,Austin
茅马环,0,5291-1690489236,35,聚划算,Detroit
屈加祥,1,7914-1628809219,20,The Kroger,内蒙古
